10:07:15.032 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 8.0, 6.1, 1.3, 8.7, 9.6]
10:07:15.032 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:07:15.032 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 8.0, 6.1, 1.3, 8.7, 9.6]
10:07:15.032 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start quick sort.
10:07:15.032 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 1.3, 6.1, 8.0, 8.7, 9.6]
10:07:15.032 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:07:15.032 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 1.3, 6.1, 8.0, 8.7, 9.6]
10:07:15.032 [main] INFO   - Array after sort  = CustomerArray[-1.8, 1.3, 6.1, 8.0, 8.7, 9.6]

10:07:15.032 [main] INFO  task.creator.CustomerArrayCreator - Start creating CustomArray
10:07:15.032 [main] INFO  task.creator.CustomerArrayCreator - CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:07:15.032 [main] INFO   - Array for sort  = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:07:15.032 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:07:15.032 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:07:15.032 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:07:15.033 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:07:15.033 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:07:15.033 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7]
10:07:15.033 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:07:15.033 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 9.6, 8.7]
10:07:15.033 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:07:15.033 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8]
10:07:15.033 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:07:15.033 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8]
10:07:15.033 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
10:07:15.033 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[9.6, 8.7]
