22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[6.1]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[6.1]
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start sort by merge.
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[8.0]
22:03:11.982 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.982 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[8.0]
22:03:11.982 [main] INFO   - Array after sort  = CustomerArray[-1.8, 1.3, 6.1, 8.0, 8.7, 9.6]

22:03:11.982 [main] INFO  task.creator.CustomerArrayCreator - Start creating CustomArray
22:03:11.982 [main] INFO  task.creator.CustomerArrayCreator - CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.990 [main] INFO   - Array for sort  = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.990 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start Shell sort.
22:03:11.990 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.990 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.990 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.990 [main] INFO  service.impl.ArrayServiceSortImpl2 - Shell sorting have finished. Sorted array: CustomerArray[-1.8, 1.3, 6.1, 8.0, 8.7, 9.6]
22:03:11.990 [main] INFO   - Array after sort  = CustomerArray[-1.8, 1.3, 6.1, 8.0, 8.7, 9.6]

22:03:11.990 [main] INFO  task.creator.CustomerArrayCreator - Start creating CustomArray
22:03:11.990 [main] INFO  task.creator.CustomerArrayCreator - CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.990 [main] INFO   - Array for sort  = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.990 [main] INFO  service.impl.ArraySortStreamImpl - Sort with stream "sortCustomerArray(CustomerArray customerArray)" start
22:03:11.990 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.990 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
22:03:11.992 [main] INFO  service.impl.ArraySortStreamImpl - Transmitted array : CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.992 [main] INFO  service.impl.ArraySortStreamImpl - Sort with stream sortCustomerArray(CustomerArray customerArray) has finished. Sorted array :CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
22:03:11.992 [main] INFO   - Array after sort  = CustomerArray[-1.8, 1.3, 6.1, 8.0, 8.7, 9.6]

22:03:11.992 [main] INFO  reader.impl.DataStringReaderStreamImpl - Start read from txt.
22:03:11.992 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: 3.6 5.9 5в6 -9.7
22:03:11.992 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: false
22:03:11.992 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: -1.8, 9.6,8.7, 1.3 6.1 8 0
22:03:11.992 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
22:03:11.992 [main] INFO  reader.impl.DataStringReaderStreamImpl - Reading from txt has finished. Line  = Optional[-1.8, 9.6,8.7, 1.3 6.1 8 0]
